CATEGORYID,USESTATUS_LAST_ID,P_MANUFACTURERID,DATEMANUFACTURE,NATIONALFACT,OWNER,LOAI_TBI,KIEU_LBS,TTKN,CTSC,KIEU_DHQ,MT_CD,UDM,IDM,DBDATSCN,KCRTT,SCKTTDC,KNGSDK,DB_DA_XUNG,I_CATNM_DM,VLBS,KIEU_DK
0022D00_LBS,USING,HSX.00375,2007,TB040.00141,TB0632,TBI_TT_LBS_LOAI.21,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500047,0,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00290,2020,TB040.00001,TB0632,TBI_TT_LBS_LOAI.20,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.8,PB-500012,50,PB-500047,5000,PE-2168,150,TBI_TT_KNCDNM.00027,PB-500062,TBI_TT_CC_DK.00003
0022D00_LBS,USING,HSX.00302,2015,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,10000,PE-2168,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,RETIRE,HSX.00375,2005,TB040.00012,TB0632,TBI_TT_LBS_LOAI.23,PB-501424,PB-501427,EVN.KO,PE-2164,PE-2165,TBI_TT_FCO_UDM.9,PB-500012,50,PB-500049,50,PE-2169,125,TBI_TT_KNCDNM.00036,PB-500064,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00046,2001,TB040.00016,TB0632,TBI_TT_LBS_LOAI.4,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,1000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,HH,HSX.00302,2017,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,2000,PE-2168,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00390,2017,TB040.00012,TB0632,TBI_TT_LBS_LOAI.24,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.9,PB-500012,50,PB-500049,10000,PE-2168,125,TBI_TT_KNCDNM.00011,PB-500064,TBI_TT_CC_DK.00003
0022D00_LBS,USING,HSX.00302,2017,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2164,TBI_TT_LBS_MTCD.00003,TBI_TT_FCO_UDM.9,PB-500012,50,PB-500049,10000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00003
0022D00_LBS,USING,HSX.00035,2012,TB040.00012,TB0632,TBI_TT_LBS_LOAI.13,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.9,PB-500012,50,PB-500049,10000,PE-2169,125,TBI_TT_KNCDNM.00027,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00302,2014,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,10000,PE-2169,125,TBI_TT_KNCDNM.00027,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00375,2006,TB040.00141,TB0632,TBI_TT_LBS_LOAI.5,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,100,PE-2169,125,TBI_TT_KNCDNM.00027,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,TVH,HSX.00035,1995,TB040.00113,TB0632,TBI_TT_LBS_LOAI.13,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500047,0,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500064,TBI_TT_CC_DK.00002
